Id,PersonenGruppe,Produkt1,Produkt2,Produkt3,Produkt4,Produkt5,Produkt6,Produkt7,Produkt8,Produkt9,Produkt10,Produkt11
136,3,0,0,1,0,0,0,0,1,0,0,1
137,3,0,0,0,1,0,0,1,1,0,0,0
138,3,0,1,0,0,0,0,0,0,0,0,0
139,3,1,0,0,0,0,0,0,1,0,1,1
141,3,0,1,0,1,0,0,0,1,0,0,1
142,2,0,1,0,0,1,0,0,0,0,0,0
143,3,0,0,0,0,1,0,1,0,0,1,1
144,2,0,0,0,0,1,1,0,1,0,0,0
145,3,0,1,0,0,0,0,0,1,1,0,0
147,3,0,0,1,0,1,0,1,0,0,0,0
148,2,0,0,0,0,0,1,0,1,0,0,0
149,2,1,0,1,0,0,0,0,0,0,0,0
150,3,0,0,0,0,1,0,1,0,1,1,0
151,2,0,1,0,0,0,0,1,0,0,1,1
153,1,0,0,0,0,0,0,0,0,0,0,1
154,2,0,0,0,0,0,1,0,0,1,1,0
155,3,0,0,1,0,0,1,0,1,0,0,0
156,3,0,1,0,1,1,0,1,1,1,1,0
158,2,0,1,1,0,0,0,1,1,0,0,0
159,1,1,0,0,0,0,0,0,0,0,0,0
160,1,0,1,0,0,0,0,0,0,0,0,1
161,2,0,0,0,0,1,1,0,0,0,0,0
162,3,0,0,0,1,1,0,0,0,1,1,0
163,3,0,0,1,0,1,0,1,0,0,0,0
164,3,0,0,1,0,0,0,1,0,0,1,0
165,3,1,0,0,0,0,0,0,1,0,0,0
166,3,0,0,0,0,0,0,1,0,0,0,1
167,2,0,0,0,0,0,0,1,0,0,1,1
168,3,0,1,0,0,1,0,0,0,0,1,0
169,1,0,0,0,0,0,0,0,0,1,1,0
170,3,0,0,0,0,0,0,0,0,1,0,0
171,1,0,0,0,0,0,0,1,0,0,1,0
172,3,1,0,0,0,1,0,1,1,0,1,1
173,3,1,1,0,0,0,0,0,0,0,1,0
174,2,1,1,0,1,1,0,1,1,1,0,0
175,1,0,1,1,0,0,0,0,0,0,0,0
176,1,0,0,0,0,0,0,0,0,1,0,0
178,2,0,1,0,1,0,0,1,0,0,0,0
179,1,0,1,0,1,0,0,0,0,0,0,1
180,1,0,0,0,0,0,0,1,0,0,0,0
181,1,0,0,1,1,0,0,0,0,0,1,0
182,2,0,0,1,0,0,0,0,0,0,0,0
183,3,1,0,1,0,0,1,1,1,0,1,0
184,2,0,0,1,1,0,0,0,0,0,1,0
185,2,0,0,0,0,0,0,0,0,1,0,0
186,3,0,0,1,0,1,0,0,1,0,1,0
187,1,0,1,0,0,0,0,0,0,1,1,0
188,3,0,0,1,0,1,0,1,0,1,0,0
189,3,0,0,0,0,0,0,1,0,0,0,0
190,3,0,0,0,0,1,0,1,0,0,0,0
191,2,0,1,1,0,1,1,0,0,0,0,0
192,2,1,0,0,0,1,0,0,0,0,0,0
193,3,0,0,0,0,0,0,0,1,0,0,0
194,2,0,0,1,0,0,0,0,0,0,1,0
195,2,1,0,0,0,0,0,0,0,0,0,0
197,1,0,1,0,0,1,0,0,0,0,1,0
198,2,1,1,1,1,0,0,0,0,1,1,1
199,3,0,1,0,0,0,0,1,0,0,0,0
200,1,0,0,0,1,0,0,0,0,1,0,0
201,3,0,0,1,1,0,1,0,0,0,0,1
202,1,0,1,0,0,0,0,0,0,0,0,1
203,1,0,1,1,0,0,0,0,1,0,1,1
204,3,0,0,0,0,0,0,0,0,1,0,0
205,2,0,0,0,0,0,0,1,0,0,0,0
206,2,0,1,0,1,0,0,1,0,1,0,1
207,2,0,0,0,1,0,0,0,0,0,0,0
208,1,0,1,0,1,0,0,0,1,0,0,0
209,1,1,0,0,0,0,0,0,0,0,0,0
210,1,0,0,0,1,0,0,0,0,0,0,1
211,3,0,0,0,0,1,0,0,1,0,0,0
212,2,0,0,0,1,0,0,0,1,0,0,0
213,1,0,1,0,0,0,0,0,0,0,1,0
214,1,0,0,0,0,0,0,1,0,0,0,0
215,3,1,0,0,0,1,0,1,0,1,1,0
217,3,0,0,0,0,0,0,0,0,1,1,0
218,3,0,0,0,1,0,0,1,0,0,0,0
219,2,0,1,0,0,0,0,0,0,0,1,0
220,3,0,0,0,0,1,0,1,0,0,0,0
222,2,0,0,0,0,0,0,0,1,0,0,0
223,2,0,1,0,0,1,0,1,0,0,0,0
224,1,0,1,0,0,1,0,0,0,1,1,0
225,2,0,0,0,0,1,0,1,0,1,0,0
226,2,1,0,0,1,0,0,0,1,0,0,1
227,2,1,0,1,1,0,0,1,0,0,0,1
228,1,0,0,0,1,1,0,0,0,0,0,0
229,3,0,0,0,0,1,0,1,0,1,1,0
230,1,0,0,0,1,0,0,0,0,0,0,0
231,1,0,1,0,0,0,0,0,1,0,1,0
232,2,0,0,0,0,0,0,1,0,0,0,0
233,1,1,0,0,0,0,0,0,0,0,0,0
234,1,0,1,0,0,1,0,0,0,1,0,0
235,1,0,0,1,0,0,1,0,0,1,0,0
236,3,0,0,0,0,0,0,0,0,1,1,0
237,3,0,0,0,0,0,0,0,0,0,1,0
238,2,1,0,0,0,0,0,0,0,0,0,0
239,1,0,0,0,0,0,0,0,0,1,0,0
240,3,0,0,0,0,1,1,0,0,0,1,1
241,1,0,0,0,0,0,1,1,0,0,1,0
242,3,0,0,0,1,0,0,1,1,0,0,0
243,2,1,0,0,0,1,0,0,1,0,0,0
245,3,0,0,0,0,0,0,1,0,1,0,1
246,3,0,0,0,0,0,0,0,0,1,0,0
248,3,0,1,0,0,1,0,1,0,0,0,0
249,1,1,0,0,0,0,0,0,0,0,0,1
250,3,0,1,1,0,0,0,0,0,0,1,0
251,3,1,1,0,0,0,0,0,0,0,0,1
252,3,0,1,0,0,0,0,1,0,0,0,0
253,2,0,1,0,0,0,0,1,0,1,1,0
254,1,0,0,1,0,0,0,0,1,0,0,0
255,2,0,0,1,0,0,0,0,0,0,1,0
256,2,1,1,0,0,0,0,0,0,0,0,0
257,3,0,1,0,0,0,0,0,0,1,0,0
258,1,0,1,0,0,0,0,0,0,1,0,0
259,1,0,0,0,0,0,0,0,0,1,1,0
260,3,0,0,1,0,0,1,0,0,0,0,0
261,1,0,0,1,1,0,0,0,0,0,1,0
262,1,0,1,0,0,0,0,1,0,0,0,0
263,3,1,1,0,0,0,0,0,1,1,0,0
264,2,0,0,0,1,0,0,0,0,1,0,0
265,2,1,1,0,0,0,0,0,0,0,1,1
266,3,0,0,0,0,1,0,0,0,0,1,0
267,2,0,1,1,0,0,0,0,0,1,1,0
268,2,1,0,1,1,0,0,0,0,0,1,0
269,2,0,0,1,0,0,0,0,0,0,0,0
270,3,1,0,0,1,0,0,0,0,0,1,0
271,3,0,1,0,1,1,0,0,1,1,0,0
272,3,1,0,0,0,0,0,0,1,0,0,0
273,1,0,1,0,0,1,0,0,1,0,0,0
274,1,0,0,1,0,0,0,0,0,0,1,0
275,1,0,1,0,0,0,0,0,0,0,1,1
276,1,0,0,1,0,0,0,0,0,1,0,0
277,3,0,0,0,0,0,0,1,0,0,0,1
278,1,0,0,0,0,1,1,0,0,0,0,1
279,2,1,0,1,0,0,0,0,0,0,0,1
280,2,0,0,0,0,0,0,1,0,1,0,1
281,1,0,0,0,0,0,1,0,1,1,0,0
282,1,0,0,0,0,0,0,0,0,0,1,0
283,1,0,0,1,0,0,0,0,0,1,1,0
284,3,0,0,0,0,1,0,0,1,1,1,0
285,1,0,1,1,0,0,0,0,1,1,0,0
286,3,0,0,1,0,0,0,1,0,0,1,0
287,1,1,0,0,0,0,0,0,0,1,0,0
288,2,0,0,1,0,0,0,0,0,0,0,1
289,1,0,0,1,0,0,0,0,0,0,0,0
290,1,1,0,0,1,0,0,0,0,0,0,0
291,1,0,1,1,1,1,0,0,0,0,0,0
292,3,1,1,0,1,0,0,0,0,0,0,1
293,1,0,1,0,0,0,0,1,0,0,0,0
294,2,0,0,0,0,0,0,0,0,0,0,1
295,1,0,0,0,0,0,1,0,0,0,0,0
296,1,0,0,1,0,0,0,0,0,0,1,0
297,3,0,0,1,0,0,0,0,0,1,0,0
298,1,0,1,0,0,0,0,1,0,0,0,0
299,2,0,0,0,0,0,0,0,0,1,0,0
300,1,0,1,0,0,0,0,0,0,1,0,0
301,2,0,0,0,1,0,1,0,0,0,1,0
302,1,0,0,0,0,0,0,1,0,0,0,0
303,2,0,0,0,1,0,0,0,0,0,0,0
304,1,0,0,1,0,1,0,1,1,0,0,0
305,3,0,0,1,0,0,0,0,0,0,1,0
307,3,0,1,0,1,1,0,0,0,0,0,0
309,1,0,1,1,0,0,0,0,1,1,0,0
310,2,0,1,0,0,0,1,0,0,1,0,0
311,2,0,1,0,0,1,0,0,0,0,0,0
312,2,0,0,1,0,0,0,1,0,1,0,0
313,3,0,1,0,0,0,0,0,1,1,0,0
314,1,0,1,0,0,0,0,0,0,0,0,0
315,2,0,1,0,0,0,0,0,0,0,1,0
316,2,0,1,0,1,0,0,1,0,0,0,0
317,3,0,0,0,0,0,0,0,0,1,0,0
318,1,0,0,0,0,1,0,0,1,0,1,0
319,2,0,0,0,0,0,1,1,1,0,1,0
320,3,1,0,0,1,0,0,1,0,1,0,0
321,3,1,0,1,0,0,1,0,1,1,0,0
322,1,1,0,1,0,0,0,0,0,0,1,0
323,3,0,0,0,0,0,0,0,0,0,1,0
324,1,0,1,0,0,0,0,1,0,1,0,0
325,3,0,0,1,0,0,0,1,0,1,1,0
326,2,0,1,0,1,0,1,1,1,1,1,0
327,1,0,1,0,0,0,0,1,0,0,0,0
328,2,0,0,1,0,1,0,0,0,0,0,0
329,3,0,0,0,1,1,0,0,0,0,0,0
330,1,1,0,0,0,0,0,0,0,0,0,0
331,3,0,1,0,0,0,0,1,0,0,0,0
332,1,0,1,0,0,1,0,1,0,0,0,0
333,3,1,0,0,1,0,0,0,1,0,0,1
334,1,0,0,0,0,1,0,0,0,0,1,0
335,3,1,1,0,0,0,0,1,1,1,1,0
336,3,0,0,0,1,0,0,0,0,0,0,0
337,2,1,1,0,1,0,0,0,1,1,0,0
338,1,0,0,0,0,0,0,1,0,0,0,0
339,2,0,0,0,0,0,0,0,0,0,1,0
341,3,0,0,0,1,0,0,1,1,1,0,1
343,1,1,0,0,0,0,0,1,0,0,0,0
344,1,0,0,0,0,0,0,0,1,1,0,0
345,3,1,0,0,0,0,0,0,0,1,0,1
346,1,0,0,0,0,0,0,0,0,1,1,0
347,3,0,1,0,0,0,0,0,0,0,0,0
348,1,1,0,1,0,1,0,0,0,0,1,0
349,1,0,1,1,0,0,1,0,0,0,0,0
350,1,0,1,0,0,0,0,0,1,0,0,0
351,1,0,0,0,1,0,0,0,0,1,0,0
352,2,0,0,1,0,0,1,0,1,0,0,0
353,2,0,0,1,0,0,0,0,0,0,1,0
354,3,0,0,0,1,0,0,0,0,0,1,1
355,3,0,1,0,1,1,0,1,0,1,1,1
356,1,0,0,1,0,0,0,0,0,0,0,0
357,3,0,0,0,0,0,0,0,0,1,0,0
358,3,0,0,0,0,0,1,0,1,0,0,1
359,3,0,0,1,1,1,0,1,1,0,1,0
360,2,0,0,0,0,0,0,0,0,0,1,0
361,2,0,0,1,0,0,0,0,0,0,0,0
362,1,0,0,0,0,0,0,1,0,0,0,0
363,1,0,0,0,0,0,0,1,0,1,0,1
364,3,0,1,0,0,0,1,0,1,1,0,1
365,2,1,0,1,0,1,0,0,0,0,1,0
366,1,0,0,0,0,0,0,0,1,0,0,1
367,2,0,0,0,1,0,0,0,0,0,0,0
368,3,0,0,0,1,0,0,0,0,0,1,0
369,1,0,0,0,0,0,1,0,0,0,0,1
370,3,0,0,0,1,0,1,1,0,0,0,0
371,2,0,0,0,0,1,0,0,0,1,1,1
372,3,0,0,0,0,0,1,0,1,1,1,1
373,1,0,1,1,0,1,0,1,0,0,1,0
374,3,0,1,0,0,0,0,0,1,1,0,0
376,1,1,0,0,0,0,1,0,0,0,0,0
377,2,0,1,0,0,0,1,1,1,0,1,0
378,1,0,0,0,0,0,0,1,0,1,1,1
379,1,0,1,0,0,0,0,1,0,0,0,1
380,3,1,0,1,1,1,0,0,1,0,1,1
381,2,0,1,0,0,0,0,1,1,0,0,0
382,3,0,0,0,0,0,0,0,0,0,1,0
383,1,0,1,0,0,0,0,0,0,0,1,0
384,1,0,0,0,0,1,0,0,0,0,1,0
385,2,0,0,1,0,0,0,0,0,0,0,0
386,3,0,1,0,0,0,0,0,0,0,0,0
387,2,1,1,1,0,0,0,0,1,1,0,0
388,1,0,0,0,0,1,0,1,0,0,0,0
389,3,0,1,0,0,0,0,1,0,1,0,0
390,3,0,0,0,0,0,0,1,1,0,1,0
391,1,0,1,0,0,1,0,1,0,1,0,0
392,3,0,0,0,0,1,0,0,0,0,0,0
393,1,1,1,0,0,0,0,0,0,0,0,1
394,2,0,1,0,0,0,0,1,0,0,1,0
395,2,0,1,0,0,0,0,0,0,1,0,0
397,1,0,0,0,0,0,0,0,1,0,1,1
399,3,0,0,0,0,0,1,0,1,0,0,0
400,3,1,0,0,0,0,0,0,0,0,1,0
401,1,0,0,1,0,0,0,0,0,0,0,0
402,2,0,0,0,0,0,0,0,0,1,0,0
403,1,0,1,0,0,0,0,0,0,0,1,0
404,1,0,1,0,0,1,0,0,0,0,0,0
405,2,0,0,1,0,0,0,0,0,0,0,0
406,3,0,0,1,1,1,0,0,0,0,0,0
407,1,1,1,1,0,0,0,0,0,0,0,0
408,2,0,1,0,0,0,0,1,0,1,0,0
409,1,0,0,0,0,0,0,0,0,0,0,1
410,1,0,1,0,0,1,0,0,0,1,1,0
411,3,1,0,0,0,0,0,0,0,1,1,0
412,2,0,0,0,0,1,1,0,1,0,0,0
413,2,0,0,0,0,0,0,0,1,0,0,0
414,3,1,0,0,0,0,0,0,0,0,0,0
415,1,0,0,0,0,0,0,0,1,0,1,0
416,3,0,0,0,0,0,1,0,1,0,0,1
417,1,0,1,0,0,0,0,0,1,0,0,0
418,3,0,1,0,0,0,0,1,1,0,0,0
419,2,0,1,0,0,1,0,0,0,1,1,1
420,1,0,0,1,0,0,0,0,0,0,0,1
421,2,0,0,1,0,1,0,1,0,0,0,0
422,3,1,0,1,0,0,1,0,0,0,0,0
423,3,1,0,0,1,1,1,0,0,1,0,0
424,2,0,0,0,0,0,1,0,0,1,0,0
425,2,0,0,1,0,0,0,0,0,0,0,0
426,1,0,0,0,0,1,0,1,0,1,0,0
427,2,0,1,0,0,0,0,1,0,1,0,0
428,2,0,0,1,0,0,0,0,0,1,0,0
429,1,1,0,0,0,0,0,0,0,0,0,0
430,2,1,1,0,1,0,0,0,0,0,0,0
431,2,0,1,0,0,1,0,0,0,1,0,0
432,3,0,0,0,0,1,0,0,0,1,1,1
433,3,0,1,0,1,0,1,0,0,0,0,0
434,3,0,1,0,0,0,0,0,0,1,0,0
435,2,0,0,1,0,0,0,1,0,1,0,1
436,1,0,0,0,0,0,0,1,0,1,0,0
437,3,0,0,0,0,0,1,0,0,1,0,0
438,3,0,0,1,0,0,0,0,1,1,0,0
439,3,1,1,1,0,0,0,0,1,1,1,0
440,2,0,0,0,0,0,0,0,0,1,0,0
441,3,0,1,0,0,0,0,0,0,0,0,0
442,1,0,0,1,0,0,0,0,0,0,0,0
443,3,0,1,0,0,1,0,0,0,0,0,0
444,3,0,0,0,1,0,0,0,1,1,0,0
445,3,0,0,0,0,1,0,1,0,1,0,0
446,1,0,0,1,0,0,0,0,0,1,0,0
447,3,1,1,0,0,0,0,1,0,0,0,0
448,1,0,1,0,1,1,0,0,0,0,0,0
449,1,0,0,0,1,0,0,1,0,1,0,1
450,1,0,1,1,1,0,0,0,0,0,0,0
451,1,0,0,0,1,0,0,0,0,0,0,0
452,2,0,1,0,0,0,0,0,1,0,0,0
453,1,1,0,0,0,0,0,0,0,0,1,1
454,1,0,1,1,0,0,0,0,0,0,1,0
455,1,1,0,0,0,0,0,1,0,0,0,0
456,2,0,1,0,1,0,0,1,0,0,0,1
457,2,0,0,0,0,0,0,0,0,1,1,0
458,3,0,0,1,1,0,0,1,1,0,0,0
460,3,0,0,1,0,1,0,1,0,0,0,0
461,1,0,0,0,0,0,0,0,0,0,1,0
462,1,0,0,1,0,0,0,1,1,0,0,0
463,1,0,0,0,1,1,0,0,0,0,0,0
464,1,1,0,0,0,0,0,0,0,0,0,0
465,3,0,0,0,1,0,1,0,1,0,0,0
466,1,0,0,0,0,0,0,0,0,1,0,0
467,3,0,0,0,0,1,0,0,0,0,1,0
468,1,0,1,1,0,0,1,0,0,0,1,0
469,2,0,0,0,0,1,0,0,0,1,0,1
470,2,1,0,1,0,0,0,0,0,0,0,1
471,2,0,0,1,0,0,0,0,1,0,0,0
472,1,0,0,0,0,0,0,0,1,0,1,0
473,1,0,0,0,0,0,0,0,0,0,1,0
474,2,1,0,0,1,0,0,0,0,0,1,0
475,3,0,0,0,1,0,0,0,1,0,1,1
476,3,0,0,0,0,1,0,0,0,0,0,0
477,3,1,0,1,0,0,0,0,0,1,0,1
478,3,0,0,1,0,0,0,1,0,1,0,0
479,3,0,0,0,1,0,0,1,1,1,1,1
480,1,1,0,0,0,0,0,0,0,1,0,0
481,2,1,0,1,0,0,0,0,1,1,0,0
482,2,1,0,0,0,0,1,0,1,0,0,1
483,2,0,0,1,0,0,0,0,1,0,0,0
484,3,0,0,0,1,0,0,1,0,0,1,0
485,1,0,0,1,0,0,0,1,0,0,0,0
487,2,0,0,0,0,0,0,0,0,0,0,1
488,2,0,0,0,0,1,0,1,0,0,0,0
489,2,0,0,0,1,0,0,0,0,0,0,0
490,2,1,1,0,0,0,1,1,0,1,1,0
491,1,0,1,0,0,1,0,0,1,1,0,1
492,3,1,0,0,0,0,0,1,0,1,0,0
493,2,0,0,0,0,0,1,0,0,0,0,1
494,3,1,0,0,1,0,0,0,1,1,0,0
495,1,0,0,0,0,0,0,0,0,0,0,1
496,2,1,0,0,0,1,0,0,0,0,0,0
497,3,1,0,0,1,0,0,0,0,1,0,0
499,2,0,0,1,0,0,0,0,0,1,0,1
500,2,0,0,0,0,0,0,0,0,1,0,0
501,1,1,0,0,0,0,0,1,1,0,0,0
502,2,0,0,0,0,1,0,0,0,0,0,0
503,3,0,0,0,0,0,0,0,0,0,1,0
504,3,1,0,0,1,1,0,0,0,1,1,0
505,3,0,0,0,0,1,1,0,0,0,0,0
506,1,0,1,0,0,0,0,0,0,0,0,0
507,3,0,0,1,0,0,1,0,0,1,1,1
508,3,0,0,0,0,0,1,0,1,1,1,0
509,3,1,0,1,0,0,0,0,0,0,0,1
510,3,0,0,1,0,1,0,0,1,1,1,0
511,3,0,0,0,0,1,0,0,0,1,1,1
512,2,0,1,1,0,0,0,0,0,0,1,0
513,3,1,1,1,0,0,1,0,0,1,0,0
514,1,0,0,1,0,0,0,0,0,0,0,0
515,2,0,0,1,1,0,0,0,0,0,0,0
516,1,0,1,0,1,1,0,1,0,1,0,0
517,1,0,1,0,0,0,1,1,0,0,0,0
518,1,0,0,0,0,1,0,0,0,0,0,0
519,3,1,0,0,1,0,0,0,0,0,0,1
520,1,0,1,0,0,0,0,0,0,1,1,0
521,2,0,1,1,0,0,0,1,0,0,0,0
522,2,0,0,1,0,0,0,0,0,0,0,1
523,3,0,1,0,0,0,0,0,1,0,0,0
524,2,0,0,0,0,0,0,0,0,0,1,0
525,3,0,0,0,0,0,0,1,0,0,0,0
526,3,1,0,0,1,0,1,0,0,0,0,0
527,3,0,1,0,0,1,0,0,0,1,0,1
528,1,0,0,0,0,0,0,0,0,0,1,0
529,2,0,0,0,0,0,0,0,0,0,1,0
530,3,0,0,0,0,0,0,0,0,1,0,0
532,2,0,0,1,0,0,0,1,1,1,0,0
533,2,0,1,1,0,0,0,0,0,0,0,0
534,2,0,1,0,0,0,0,1,0,0,0,1
535,1,1,0,1,0,0,0,0,1,0,0,0
536,1,0,0,1,1,0,0,0,1,0,0,0
537,3,0,1,0,0,1,0,0,1,0,0,0
538,2,0,0,1,0,1,0,0,0,0,0,0
539,3,0,0,1,0,0,0,1,0,0,0,0
540,1,0,0,0,1,0,1,0,0,0,1,0
541,3,0,0,0,1,0,0,1,1,1,0,0
542,3,0,0,1,0,0,1,0,0,0,0,0
543,2,0,0,1,0,0,0,0,0,0,0,1
544,3,0,1,0,0,0,0,0,0,1,0,0
545,2,0,1,1,0,0,0,1,0,1,0,0
546,2,0,0,0,1,0,0,1,1,0,0,1
547,2,0,0,0,0,0,0,0,1,0,1,0
548,3,1,0,0,0,0,0,0,0,0,1,0
549,3,0,0,0,0,1,0,1,0,0,1,1
550,2,0,1,0,0,1,0,0,1,1,0,0
551,2,0,0,0,0,0,1,0,0,0,0,0
552,2,0,1,0,0,0,0,0,0,1,0,0
553,1,0,0,1,0,0,0,0,0,0,0,0
554,3,1,1,0,0,0,1,0,0,0,1,0
555,3,1,1,1,0,0,0,0,1,0,1,0
556,3,0,0,0,0,0,1,1,0,0,1,0
557,3,1,0,0,0,0,0,0,0,1,0,0
558,3,0,0,0,0,0,0,0,0,0,1,1
559,1,0,1,0,0,0,0,0,0,0,1,0
560,2,0,1,0,1,0,1,0,0,1,0,1
561,1,0,0,1,0,0,0,0,0,1,0,0
562,2,0,0,0,1,0,0,0,1,0,0,1
563,3,1,0,1,1,0,0,0,1,0,0,0
564,3,0,0,0,0,0,0,0,0,1,0,0
565,2,0,1,0,0,1,0,0,1,1,1,0
566,1,0,1,0,0,0,1,0,1,1,0,1
